regional,opco_area,province_code,province_desc,district_code,district_desc,brand,material_code,material_desc,delivery_type,baseunit_of_measure,shipto,shipto_desc,soldto,soldto_desc,plant,plant_name,area_name,segment,segment_material,quantity,revenue,incoterm,date
AREA 5,ST,1043,KALIMANTAN UTARA,104302,KOTA TARAKAN,Atlas,MAT001,Atlas Semen Portland Tipe I,ZLC,BAG,WH-1043-01,Gudang Kalimantan Utara 01,SD-1043-02,PT Distributor Kalimantan Utara 02,PL-005,Pabrik Pangkep,AREA 70 TARAKAN,FB,Retail Bag,90.47,105324359,Delivery,2026-12-27
AREA 4,SG,1031,KALIMANTAN TENGAH,103101,KABUPATEN KAPUAS,Primebase,MAT002,Primebase Semen PCC Premium,ZLC,ZAK,WH-1031-02,Gudang Kalimantan Tengah 02,SD-1031-03,PT Distributor Kalimantan Tengah 03,PL-004,Pabrik Tuban,AREA 63 PALANGKARAYA,MB,Retail Bag,121.05,127894409,Delivery,2026-12-27
AREA 5,ST,1037,SULAWESI UTARA,103701,KABUPATEN MINAHASA,Atlas,MAT004,Atlas Semen Portland Komposit,ZLC,BAG,WH-1037-01,Gudang Sulawesi Utara 01,SD-1037-02,PT Distributor Sulawesi Utara 02,PL-005,Pabrik Pangkep,AREA 85 MINAHASA,FB,Retail Bag,119.8,122008872,Pickup,2026-12-27
AREA 5,ST,1028,NUSA TENGGARA TIMUR,102802,KOTA KUPANG,Atlas,MAT002,Atlas Semen PCC Premium,ZLF,ZAK,WH-1028-02,Gudang Nusa Tenggara Timur 02,SD-1028-02,PT Distributor Nusa Tenggara Timur 02,PL-005,Pabrik Pangkep,AREA 90 KUPANG,MB,Retail Bag,116.09,126227559,Delivery,2026-12-27
AREA 1,SP,1012,SUMATERA BARAT,101203,KOTA BUKIT TINGGI,Fonda,MAT004,Fonda Semen Portland Komposit,ZLF,ZAK,WH-1012-02,Gudang Sumatera Barat 02,SD-1012-01,PT Distributor Sumatera Barat 01,PL-001,Pabrik Indarung,AREA 12 BUKITTINGGI,FB,Retail Bag,79.52,77985820,Pickup,2026-12-27
AREA 4,SG,1026,BALI,102601,KABUPATEN BADUNG,Vanguard,MAT004,Vanguard Semen Portland Komposit,ZSLF,ZAK,WH-1026-02,Gudang Bali 02,SD-1026-01,PT Distributor Bali 01,PL-004,Pabrik Tuban,AREA 57 DENPASAR,MB,Retail Bag,71.74,81340748,Delivery,2026-12-27
AREA 5,ST,1034,SULAWESI BARAT,103403,KABUPATEN POLEWALI MANDAR,Atlas,MAT002,Atlas Semen PCC Premium,ZLFP,BAG,WH-1034-02,Gudang Sulawesi Barat 02,SD-1034-02,PT Distributor Sulawesi Barat 02,PL-005,Pabrik Pangkep,AREA 75 POLEWALI MDR,FB,Retail Bag,105.91,110693954,Delivery,2026-12-27
AREA 5,ST,1041,PAPUA,104101,KABUPATEN JAYAPURA,Atlas,MAT004,Atlas Semen Portland Komposit,ZLFP,ZAK,WH-1041-02,Gudang Papua 02,SD-1041-03,PT Distributor Papua 03,PL-005,Pabrik Pangkep,AREA 95 JAYAPURA,MB,Retail Bag,139.04,179836838,Delivery,2026-12-27
AREA 5,ST,1038,GORONTALO,103802,KOTA GORONTALO,Atlas,MAT001,Atlas Semen Portland Tipe I,ZLC,ZAK,WH-1038-02,Gudang Gorontalo 02,SD-1038-02,PT Distributor Gorontalo 02,PL-005,Pabrik Pangkep,AREA 83 GORONTALO,MB,Retail Bag,17.0,16900703,Delivery,2026-12-27
AREA 5,ST,1030,KALIMANTAN SELATAN,103003,KOTA BANJAR BARU,Atlas,MAT001,Atlas Semen Portland Tipe I,ZLC,ZAK,WH-1030-02,Gudang Kalimantan Selatan 02,SD-1030-03,PT Distributor Kalimantan Selatan 03,PL-005,Pabrik Pangkep,AREA 65 BANJARMASIN,MB,Retail Bag,38.18,45837304,Pickup,2026-12-27
AREA 1,SP,1018,BENGKULU,101801,KABUPATEN REJANG LEBONG,Fonda,MAT001,Fonda Semen Portland Tipe I,ZLFP,ZAK,WH-1018-01,Gudang Bengkulu 01,SD-1018-02,PT Distributor Bengkulu 02,PL-001,Pabrik Indarung,AREA 23 LEBONG,MB,Retail Bag,72.22,84868538,Delivery,2026-12-27
AREA 4,SG,1025,JAWA TIMUR,102503,KOTA MALANG,Vanguard,MAT002,Vanguard Semen PCC Premium,ZLFP,ZAK,WH-1025-01,Gudang Jawa Timur 01,SD-1025-01,PT Distributor Jawa Timur 01,PL-004,Pabrik Tuban,AREA 53 MALANG,MB,Retail Bag,82.76,90910204,Delivery,2026-12-27
AREA 3,SBI,1024,DI YOGYAKARTA,102403,KABUPATEN BANTUL,Tecton,MAT002,Tecton Semen PCC Premium,ZSLF,BAG,WH-1024-01,Gudang Di Yogyakarta 01,SD-1024-02,PT Distributor Di Yogyakarta 02,PL-003,Pabrik Narogong,AREA 47 YOGYAKARTA,MB,Retail Bag,88.37,113805537,Pickup,2026-12-27
AREA 5,ST,1040,MALUKU UTARA,104001,KABUPATEN HALMAHERA UTARA,Atlas,MAT002,Atlas Semen PCC Premium,ZLFP,BAG,WH-1040-02,Gudang Maluku Utara 02,SD-1040-03,PT Distributor Maluku Utara 03,PL-005,Pabrik Pangkep,AREA 91 MALUKU UTARA,FB,Retail Bag,121.88,120618542,Pickup,2026-12-27
AREA 1,SP,1018,BENGKULU,101801,KABUPATEN REJANG LEBONG,Fonda,MAT004,Fonda Semen Portland Komposit,ZLC,ZAK,WH-1018-02,Gudang Bengkulu 02,SD-1018-02,PT Distributor Bengkulu 02,PL-001,Pabrik Indarung,AREA 23 LEBONG,MB,Retail Bag,95.59,107044836,Delivery,2026-12-27
AREA 5,ST,1030,KALIMANTAN SELATAN,103003,KOTA BANJAR BARU,Atlas,MAT003,Atlas Semen Tecton Khusus,ZLF,ZAK,WH-1030-01,Gudang Kalimantan Selatan 01,SD-1030-01,PT Distributor Kalimantan Selatan 01,PL-005,Pabrik Pangkep,AREA 65 BANJARMASIN,FB,Retail Bag,38.17,42516379,Delivery,2026-12-27
AREA 5,ST,1039,MALUKU,103902,KOTA AMBON,Atlas,MAT004,Atlas Semen Portland Komposit,ZSLF,ZAK,WH-1039-01,Gudang Maluku 01,SD-1039-03,PT Distributor Maluku 03,PL-005,Pabrik Pangkep,AREA 92 MALUKU,MB,Retail Bag,68.91,85259724,Delivery,2026-12-27
AREA 5,ST,1035,SULAWESI TENGGARA,103501,KABUPATEN KONAWE,Atlas,MAT004,Atlas Semen Portland Komposit,ZLF,ZAK,WH-1035-02,Gudang Sulawesi Tenggara 02,SD-1035-02,PT Distributor Sulawesi Tenggara 02,PL-005,Pabrik Pangkep,AREA 79 KENDARI,FB,Retail Bag,145.42,161997734,Pickup,2026-12-27
AREA 4,SG,1026,BALI,102602,KOTA DENPASAR,Vanguard,MAT002,Vanguard Semen PCC Premium,ZLC,BAG,WH-1026-02,Gudang Bali 02,SD-1026-03,PT Distributor Bali 03,PL-004,Pabrik Tuban,AREA 57 DENPASAR,MB,Retail Bag,144.38,141556360,Pickup,2026-12-27
AREA 1,SP,1012,SUMATERA BARAT,101203,KOTA BUKIT TINGGI,Fonda,MAT002,Fonda Semen PCC Premium,ZSLF,BAG,WH-1012-01,Gudang Sumatera Barat 01,SD-1012-02,PT Distributor Sumatera Barat 02,PL-001,Pabrik Indarung,AREA 12 BUKITTINGGI,MB,Retail Bag,105.54,111572877,Delivery,2026-12-27
AREA 1,SP,1013,RIAU,101302,KOTA PEKANBARU,TerraBlock,MAT002,TerraBlock Semen PCC Premium,ZSLF,ZAK,WH-1013-01,Gudang Riau 01,SD-1013-03,PT Distributor Riau 03,PL-001,Pabrik Indarung,AREA 13 PEKANBARU,FB,Retail Bag,109.16,111083290,Pickup,2026-12-27
AREA 2,SMBR,1019,LAMPUNG,101902,KOTA BANDAR LAMPUNG,Monolith,MAT001,Monolith Semen Portland Tipe I,ZSLF,BAG,WH-1019-02,Gudang Lampung 02,SD-1019-02,PT Distributor Lampung 02,PL-002,Pabrik Baturaja,AREA 29 BANDAR LMPNG,MB,Retail Bag,86.49,99950525,Pickup,2026-12-27
AREA 3,SBI,1017,KEPULAUAN BANGKA BELITUNG,101702,KOTA PANGKAL PINANG,Omnicore,MAT002,Omnicore Semen PCC Premium,ZLF,ZAK,WH-1017-01,Gudang Kepulauan Bangka Belitung 01,SD-1017-03,PT Distributor Kepulauan Bangka Belitung 03,PL-003,Pabrik Narogong,AREA 28 BANGKA BLTNG,MB,Retail Bag,68.37,77081021,Pickup,2026-12-27
AREA 1,SP,1012,SUMATERA BARAT,101202,KOTA PADANG,TerraBlock,MAT004,TerraBlock Semen Portland Komposit,ZLFP,ZAK,WH-1012-02,Gudang Sumatera Barat 02,SD-1012-01,PT Distributor Sumatera Barat 01,PL-001,Pabrik Indarung,AREA 10 PADANG,MB,Retail Bag,106.73,113616753,Delivery,2026-12-27
AREA 3,SBI,1020,BANTEN,102003,KOTA CILEGON,Tecton,MAT001,Tecton Semen Portland Tipe I,ZSLF,ZAK,WH-1020-01,Gudang Banten 01,SD-1020-01,PT Distributor Banten 01,PL-003,Pabrik Narogong,AREA 33 BANTEN,FB,Retail Bag,130.56,134350548,Pickup,2026-12-27
AREA 5,ST,1043,KALIMANTAN UTARA,104302,KOTA TARAKAN,Atlas,MAT003,Atlas Semen Tecton Khusus,ZSLF,BAG,WH-1043-02,Gudang Kalimantan Utara 02,SD-1043-02,PT Distributor Kalimantan Utara 02,PL-005,Pabrik Pangkep,AREA 70 TARAKAN,MB,Retail Bag,37.03,37859472,Delivery,2026-12-27
AREA 3,SBI,1023,JAWA TENGAH,102301,KABUPATEN BANYUMAS,Omnicore,MAT002,Omnicore Semen PCC Premium,ZLF,BAG,WH-1023-01,Gudang Jawa Tengah 01,SD-1023-03,PT Distributor Jawa Tengah 03,PL-003,Pabrik Narogong,AREA 42 PURWOKERTO,FB,Retail Bag,44.3,48941000,Pickup,2026-12-27
AREA 5,ST,1037,SULAWESI UTARA,103701,KABUPATEN MINAHASA,Atlas,MAT003,Atlas Semen Tecton Khusus,ZLFP,BAG,WH-1037-02,Gudang Sulawesi Utara 02,SD-1037-02,PT Distributor Sulawesi Utara 02,PL-005,Pabrik Pangkep,AREA 85 MINAHASA,FB,Retail Bag,100.21,96215829,Pickup,2026-12-27
AREA 1,SP,1011,SUMATERA UTARA,101102,KOTA MEDAN,TerraBlock,MAT001,TerraBlock Semen Portland Tipe I,ZSLF,ZAK,WH-1011-02,Gudang Sumatera Utara 02,SD-1011-01,PT Distributor Sumatera Utara 01,PL-001,Pabrik Indarung,AREA 05 MEDAN,MB,Retail Bag,148.28,180672210,Pickup,2026-12-27
AREA 4,SG,1026,BALI,102601,KABUPATEN BADUNG,Vanguard,MAT004,Vanguard Semen Portland Komposit,ZLC,ZAK,WH-1026-02,Gudang Bali 02,SD-1026-03,PT Distributor Bali 03,PL-004,Pabrik Tuban,AREA 57 DENPASAR,FB,Retail Bag,127.99,157206533,Delivery,2026-12-27
AREA 3,SBI,1020,BANTEN,102001,KABUPATEN TANGERANG,Tecton,MAT004,Tecton Semen Portland Komposit,ZLC,BAG,WH-1020-01,Gudang Banten 01,SD-1020-01,PT Distributor Banten 01,PL-003,Pabrik Narogong,AREA 33 BANTEN,FB,Retail Bag,56.25,57050437,Delivery,2026-12-27
AREA 3,SBI,1021,DKI JAKARTA,102101,KOTA JAKARTA BARAT,Tecton,MAT002,Tecton Semen PCC Premium,ZLFP,BAG,WH-1021-01,Gudang Dki Jakarta 01,SD-1021-02,PT Distributor Dki Jakarta 02,PL-003,Pabrik Narogong,AREA 34 JAKARTA,FB,Retail Bag,34.63,43225443,Pickup,2026-12-27
AREA 1,SP,1011,SUMATERA UTARA,101102,KOTA MEDAN,TerraBlock,MAT002,TerraBlock Semen PCC Premium,ZLF,BAG,WH-1011-02,Gudang Sumatera Utara 02,SD-1011-02,PT Distributor Sumatera Utara 02,PL-001,Pabrik Indarung,AREA 05 MEDAN,MB,Retail Bag,102.52,99069484,Pickup,2026-12-27
AREA 2,SMBR,1015,JAMBI,101501,KABUPATEN MUARO JAMBI,Monolith,MAT003,Monolith Semen Tecton Khusus,ZLF,BAG,WH-1015-02,Gudang Jambi 02,SD-1015-03,PT Distributor Jambi 03,PL-002,Pabrik Baturaja,AREA 19 MUARO JAMBI,MB,Retail Bag,117.18,136736287,Pickup,2026-12-27
AREA 4,SG,1025,JAWA TIMUR,102501,KABUPATEN SIDOARJO,Vanguard,MAT004,Vanguard Semen Portland Komposit,ZSLF,BAG,WH-1025-01,Gudang Jawa Timur 01,SD-1025-01,PT Distributor Jawa Timur 01,PL-004,Pabrik Tuban,AREA 51 SURABAYA,MB,Retail Bag,89.06,113690255,Pickup,2026-12-27
AREA 5,ST,1042,PAPUA BARAT,104202,KOTA SORONG,Atlas,MAT002,Atlas Semen PCC Premium,ZLC,ZAK,WH-1042-02,Gudang Papua Barat 02,SD-1042-03,PT Distributor Papua Barat 03,PL-005,Pabrik Pangkep,AREA 93 MANOKWARI,FB,Retail Bag,41.02,51351010,Pickup,2026-12-27
AREA 5,ST,1028,NUSA TENGGARA TIMUR,102801,KABUPATEN KUPANG,Atlas,MAT002,Atlas Semen PCC Premium,ZLC,BAG,WH-1028-01,Gudang Nusa Tenggara Timur 01,SD-1028-03,PT Distributor Nusa Tenggara Timur 03,PL-005,Pabrik Pangkep,AREA 90 KUPANG,FB,Retail Bag,102.82,119285594,Delivery,2026-12-27
AREA 1,SP,1014,KEPULAUAN RIAU,101402,KOTA BATAM,Fonda,MAT004,Fonda Semen Portland Komposit,ZLFP,ZAK,WH-1014-02,Gudang Kepulauan Riau 02,SD-1014-02,PT Distributor Kepulauan Riau 02,PL-001,Pabrik Indarung,AREA 16 BATAM,MB,Retail Bag,11.17,14488763,Delivery,2026-12-27
AREA 4,SG,1026,BALI,102602,KOTA DENPASAR,Vanguard,MAT001,Vanguard Semen Portland Tipe I,ZLF,BAG,WH-1026-01,Gudang Bali 01,SD-1026-01,PT Distributor Bali 01,PL-004,Pabrik Tuban,AREA 57 DENPASAR,MB,Retail Bag,20.45,21240474,Delivery,2026-12-27
AREA 1,SP,1012,SUMATERA BARAT,101202,KOTA PADANG,TerraBlock,MAT003,TerraBlock Semen Tecton Khusus,ZLFP,ZAK,WH-1012-02,Gudang Sumatera Barat 02,SD-1012-03,PT Distributor Sumatera Barat 03,PL-001,Pabrik Indarung,AREA 10 PADANG,FB,Retail Bag,114.05,141663671,Pickup,2026-12-27
AREA 5,ST,1042,PAPUA BARAT,104202,KOTA SORONG,Atlas,MAT001,Atlas Semen Portland Tipe I,ZLFP,BAG,WH-1042-02,Gudang Papua Barat 02,SD-1042-01,PT Distributor Papua Barat 01,PL-005,Pabrik Pangkep,AREA 93 MANOKWARI,FB,Retail Bag,95.04,111149280,Pickup,2026-12-28
AREA 1,SP,1014,KEPULAUAN RIAU,101403,KOTA TANJUNG PINANG,Fonda,MAT001,Fonda Semen Portland Tipe I,ZLF,ZAK,WH-1014-02,Gudang Kepulauan Riau 02,SD-1014-01,PT Distributor Kepulauan Riau 01,PL-001,Pabrik Indarung,AREA 17 KEP. RIAU,FB,Retail Bag,29.44,30294496,Pickup,2026-12-28
AREA 2,SMBR,1016,SUMATERA SELATAN,101601,KABUPATEN MUARA ENIM,Monolith,MAT001,Monolith Semen Portland Tipe I,ZLFP,ZAK,WH-1016-01,Gudang Sumatera Selatan 01,SD-1016-03,PT Distributor Sumatera Selatan 03,PL-002,Pabrik Baturaja,AREA 27 OGANKOMERING,FB,Retail Bag,48.61,59915811,Pickup,2026-12-28
AREA 4,SG,1026,BALI,102601,KABUPATEN BADUNG,Primebase,MAT004,Primebase Semen Portland Komposit,ZLC,BAG,WH-1026-01,Gudang Bali 01,SD-1026-02,PT Distributor Bali 02,PL-004,Pabrik Tuban,AREA 57 DENPASAR,FB,Retail Bag,12.94,13861755,Delivery,2026-12-28
AREA 3,SBI,1017,KEPULAUAN BANGKA BELITUNG,101702,KOTA PANGKAL PINANG,Tecton,MAT002,Tecton Semen PCC Premium,ZLC,ZAK,WH-1017-02,Gudang Kepulauan Bangka Belitung 02,SD-1017-01,PT Distributor Kepulauan Bangka Belitung 01,PL-003,Pabrik Narogong,AREA 28 BANGKA BLTNG,MB,Retail Bag,78.63,92367132,Delivery,2026-12-28
AREA 5,ST,1037,SULAWESI UTARA,103701,KABUPATEN MINAHASA,Atlas,MAT004,Atlas Semen Portland Komposit,ZSLF,ZAK,WH-1037-01,Gudang Sulawesi Utara 01,SD-1037-02,PT Distributor Sulawesi Utara 02,PL-005,Pabrik Pangkep,AREA 85 MINAHASA,MB,Retail Bag,145.26,175627765,Delivery,2026-12-28
AREA 5,ST,1039,MALUKU,103902,KOTA AMBON,Atlas,MAT003,Atlas Semen Tecton Khusus,ZLC,ZAK,WH-1039-02,Gudang Maluku 02,SD-1039-03,PT Distributor Maluku 03,PL-005,Pabrik Pangkep,AREA 92 MALUKU,MB,Retail Bag,148.01,171644384,Delivery,2026-12-28
AREA 5,ST,1036,SULAWESI TENGAH,103601,KABUPATEN POSO,Atlas,MAT003,Atlas Semen Tecton Khusus,ZLF,ZAK,WH-1036-01,Gudang Sulawesi Tengah 01,SD-1036-03,PT Distributor Sulawesi Tengah 03,PL-005,Pabrik Pangkep,AREA 81 PALU,MB,Retail Bag,128.1,161658613,Delivery,2026-12-28
AREA 5,ST,1034,SULAWESI BARAT,103403,KABUPATEN POLEWALI MANDAR,Atlas,MAT002,Atlas Semen PCC Premium,ZLC,BAG,WH-1034-01,Gudang Sulawesi Barat 01,SD-1034-02,PT Distributor Sulawesi Barat 02,PL-005,Pabrik Pangkep,AREA 75 POLEWALI MDR,FB,Retail Bag,49.65,64423258,Delivery,2026-12-28
AREA 5,ST,1043,KALIMANTAN UTARA,104301,KABUPATEN BULUNGAN,Atlas,MAT004,Atlas Semen Portland Komposit,ZSLF,ZAK,WH-1043-01,Gudang Kalimantan Utara 01,SD-1043-01,PT Distributor Kalimantan Utara 01,PL-005,Pabrik Pangkep,AREA 70 TARAKAN,MB,Retail Bag,137.01,165272696,Pickup,2026-12-28
AREA 1,SP,1014,KEPULAUAN RIAU,101401,KABUPATEN BINTAN,Fonda,MAT002,Fonda Semen PCC Premium,ZSLF,BAG,WH-1014-01,Gudang Kepulauan Riau 01,SD-1014-01,PT Distributor Kepulauan Riau 01,PL-001,Pabrik Indarung,AREA 17 KEP. RIAU,MB,Retail Bag,145.78,163374188,Pickup,2026-12-28
AREA 5,ST,1033,SULAWESI SELATAN,103302,KOTA MAKASSAR,Atlas,MAT002,Atlas Semen PCC Premium,ZLF,ZAK,WH-1033-02,Gudang Sulawesi Selatan 02,SD-1033-02,PT Distributor Sulawesi Selatan 02,PL-005,Pabrik Pangkep,AREA 72 MAKASSAR,MB,Retail Bag,79.93,93011903,Delivery,2026-12-28
AREA 1,SP,1012,SUMATERA BARAT,101202,KOTA PADANG,Fonda,MAT001,Fonda Semen Portland Tipe I,ZLC,BAG,WH-1012-01,Gudang Sumatera Barat 01,SD-1012-03,PT Distributor Sumatera Barat 03,PL-001,Pabrik Indarung,AREA 10 PADANG,MB,Retail Bag,82.48,87851427,Pickup,2026-12-28
AREA 4,SG,1025,JAWA TIMUR,102502,KOTA SURABAYA,Primebase,MAT002,Primebase Semen PCC Premium,ZLFP,BAG,WH-1025-01,Gudang Jawa Timur 01,SD-1025-03,PT Distributor Jawa Timur 03,PL-004,Pabrik Tuban,AREA 51 SURABAYA,FB,Retail Bag,134.32,129219466,Delivery,2026-12-28
AREA 5,ST,1034,SULAWESI BARAT,103402,KABUPATEN MAMUJU,Atlas,MAT003,Atlas Semen Tecton Khusus,ZLFP,ZAK,WH-1034-01,Gudang Sulawesi Barat 01,SD-1034-02,PT Distributor Sulawesi Barat 02,PL-005,Pabrik Pangkep,AREA 76 MAMUJU,MB,Retail Bag,27.76,34206677,Pickup,2026-12-28
AREA 1,SP,1011,SUMATERA UTARA,101101,KABUPATEN DELI SERDANG,Fonda,MAT004,Fonda Semen Portland Komposit,ZLF,BAG,WH-1011-02,Gudang Sumatera Utara 02,SD-1011-01,PT Distributor Sumatera Utara 01,PL-001,Pabrik Indarung,AREA 06 BINJAI,MB,Retail Bag,92.95,89733651,Delivery,2026-12-28
AREA 2,SMBR,1019,LAMPUNG,101901,KABUPATEN LAMPUNG SELATAN,Monolith,MAT002,Monolith Semen PCC Premium,ZLF,BAG,WH-1019-01,Gudang Lampung 01,SD-1019-03,PT Distributor Lampung 03,PL-002,Pabrik Baturaja,AREA 29 BANDAR LMPNG,FB,Retail Bag,92.68,97409460,Delivery,2026-12-28
AREA 3,SBI,1021,DKI JAKARTA,102103,KOTA JAKARTA SELATAN,Kinetiq,MAT003,Kinetiq Semen Tecton Khusus,ZLF,ZAK,WH-1021-01,Gudang Dki Jakarta 01,SD-1021-01,PT Distributor Dki Jakarta 01,PL-003,Pabrik Narogong,AREA 34 JAKARTA,FB,Retail Bag,29.68,32514855,Pickup,2026-12-28
AREA 2,SMBR,1016,SUMATERA SELATAN,101602,KOTA PALEMBANG,Monolith,MAT003,Monolith Semen Tecton Khusus,ZLFP,ZAK,WH-1016-01,Gudang Sumatera Selatan 01,SD-1016-01,PT Distributor Sumatera Selatan 01,PL-002,Pabrik Baturaja,AREA 25 PALEMBANG,MB,Retail Bag,84.79,102243088,Delivery,2026-12-28
AREA 4,SG,1026,BALI,102602,KOTA DENPASAR,Primebase,MAT004,Primebase Semen Portland Komposit,ZLFP,BAG,WH-1026-01,Gudang Bali 01,SD-1026-03,PT Distributor Bali 03,PL-004,Pabrik Tuban,AREA 57 DENPASAR,MB,Retail Bag,132.6,154367350,Pickup,2026-12-28
AREA 5,ST,1039,MALUKU,103901,KABUPATEN MALUKU TENGAH,Atlas,MAT003,Atlas Semen Tecton Khusus,ZLF,ZAK,WH-1039-02,Gudang Maluku 02,SD-1039-01,PT Distributor Maluku 01,PL-005,Pabrik Pangkep,AREA 92 MALUKU,FB,Retail Bag,125.67,143392863,Delivery,2026-12-28
AREA 3,SBI,1024,DI YOGYAKARTA,102403,KABUPATEN BANTUL,Tecton,MAT004,Tecton Semen Portland Komposit,ZSLF,BAG,WH-1024-01,Gudang Di Yogyakarta 01,SD-1024-02,PT Distributor Di Yogyakarta 02,PL-003,Pabrik Narogong,AREA 47 YOGYAKARTA,MB,Retail Bag,55.92,68819401,Delivery,2026-12-28
AREA 5,ST,1028,NUSA TENGGARA TIMUR,102801,KABUPATEN KUPANG,Atlas,MAT002,Atlas Semen PCC Premium,ZLFP,ZAK,WH-1028-01,Gudang Nusa Tenggara Timur 01,SD-1028-01,PT Distributor Nusa Tenggara Timur 01,PL-005,Pabrik Pangkep,AREA 90 KUPANG,FB,Retail Bag,89.05,110913466,Pickup,2026-12-28
AREA 2,SMBR,1019,LAMPUNG,101901,KABUPATEN LAMPUNG SELATAN,Monolith,MAT001,Monolith Semen Portland Tipe I,ZSLF,BAG,WH-1019-02,Gudang Lampung 02,SD-1019-02,PT Distributor Lampung 02,PL-002,Pabrik Baturaja,AREA 29 BANDAR LMPNG,FB,Retail Bag,119.5,152208703,Pickup,2026-12-28
AREA 1,SP,1014,KEPULAUAN RIAU,101401,KABUPATEN BINTAN,TerraBlock,MAT004,TerraBlock Semen Portland Komposit,ZSLF,ZAK,WH-1014-02,Gudang Kepulauan Riau 02,SD-1014-01,PT Distributor Kepulauan Riau 01,PL-001,Pabrik Indarung,AREA 17 KEP. RIAU,FB,Retail Bag,54.71,54773846,Delivery,2026-12-28
AREA 5,ST,1035,SULAWESI TENGGARA,103501,KABUPATEN KONAWE,Atlas,MAT002,Atlas Semen PCC Premium,ZLFP,BAG,WH-1035-02,Gudang Sulawesi Tenggara 02,SD-1035-01,PT Distributor Sulawesi Tenggara 01,PL-005,Pabrik Pangkep,AREA 79 KENDARI,FB,Retail Bag,117.27,121680759,Delivery,2026-12-28
AREA 4,SG,1031,KALIMANTAN TENGAH,103103,KABUPATEN KOTAWARINGIN TIMUR,Vanguard,MAT004,Vanguard Semen Portland Komposit,ZLC,ZAK,WH-1031-01,Gudang Kalimantan Tengah 01,SD-1031-02,PT Distributor Kalimantan Tengah 02,PL-004,Pabrik Tuban,AREA 62 KOTAWRGN TMR,FB,Retail Bag,83.32,93695922,Pickup,2026-12-28
AREA 5,ST,1038,GORONTALO,103802,KOTA GORONTALO,Atlas,MAT003,Atlas Semen Tecton Khusus,ZLC,BAG,WH-1038-02,Gudang Gorontalo 02,SD-1038-03,PT Distributor Gorontalo 03,PL-005,Pabrik Pangkep,AREA 83 GORONTALO,MB,Retail Bag,103.81,114621188,Pickup,2026-12-28
AREA 1,SP,1015,JAMBI,101501,KABUPATEN MUARO JAMBI,TerraBlock,MAT001,TerraBlock Semen Portland Tipe I,ZLF,BAG,WH-1015-02,Gudang Jambi 02,SD-1015-03,PT Distributor Jambi 03,PL-001,Pabrik Indarung,AREA 19 MUARO JAMBI,MB,Retail Bag,82.64,88285221,Delivery,2026-12-28
AREA 1,SP,1013,RIAU,101301,KABUPATEN KAMPAR,Fonda,MAT004,Fonda Semen Portland Komposit,ZSLF,BAG,WH-1013-01,Gudang Riau 01,SD-1013-02,PT Distributor Riau 02,PL-001,Pabrik Indarung,AREA 15 KAMPAR,FB,Retail Bag,114.18,128005028,Delivery,2026-12-28
AREA 1,SP,1010,ACEH,101001,KABUPATEN ACEH BESAR,TerraBlock,MAT002,TerraBlock Semen PCC Premium,ZLFP,ZAK,WH-1010-01,Gudang Aceh 01,SD-1010-01,PT Distributor Aceh 01,PL-001,Pabrik Indarung,AREA 01 BANDA ACEH,MB,Retail Bag,100.02,129285151,Delivery,2026-12-28
AREA 5,ST,1032,KALIMANTAN TIMUR,103201,KABUPATEN KUTAI KARTANEGARA,Atlas,MAT001,Atlas Semen Portland Tipe I,ZSLF,BAG,WH-1032-01,Gudang Kalimantan Timur 01,SD-1032-03,PT Distributor Kalimantan Timur 03,PL-005,Pabrik Pangkep,AREA 68 SAMARINDA,MB,Retail Bag,81.99,84000640,Pickup,2026-12-28
AREA 5,ST,1039,MALUKU,103902,KOTA AMBON,Atlas,MAT002,Atlas Semen PCC Premium,ZSLF,ZAK,WH-1039-02,Gudang Maluku 02,SD-1039-02,PT Distributor Maluku 02,PL-005,Pabrik Pangkep,AREA 92 MALUKU,FB,Retail Bag,79.81,76235709,Delivery,2026-12-28
AREA 4,SG,1025,JAWA TIMUR,102503,KOTA MALANG,Vanguard,MAT002,Vanguard Semen PCC Premium,ZLC,ZAK,WH-1025-02,Gudang Jawa Timur 02,SD-1025-02,PT Distributor Jawa Timur 02,PL-004,Pabrik Tuban,AREA 53 MALANG,MB,Retail Bag,111.95,137705328,Delivery,2026-12-28
AREA 3,SBI,1024,DI YOGYAKARTA,102403,KABUPATEN BANTUL,Tecton,MAT002,Tecton Semen PCC Premium,ZSLF,BAG,WH-1024-01,Gudang Di Yogyakarta 01,SD-1024-02,PT Distributor Di Yogyakarta 02,PL-003,Pabrik Narogong,AREA 47 YOGYAKARTA,MB,Retail Bag,21.74,27421922,Delivery,2026-12-28
AREA 5,ST,1033,SULAWESI SELATAN,103301,KABUPATEN MAROS,Atlas,MAT001,Atlas Semen Portland Tipe I,ZLC,ZAK,WH-1033-02,Gudang Sulawesi Selatan 02,SD-1033-02,PT Distributor Sulawesi Selatan 02,PL-005,Pabrik Pangkep,AREA 72 MAKASSAR,MB,Retail Bag,106.14,134226342,Pickup,2026-12-28
